LAC,CELLID,LAT,LON,MEAS,DIRECTION
20822,54221,31.454444,121.125833,0.2099,0
20822,54222,31.454444,121.125833,0.2099,0
20822,54223,31.454444,121.125833,0.2099,0
20969,54251,31.453055,121.109444,0.1499,0
20969,54252,31.453055,121.109444,0.1499,0
20969,54253,31.453055,121.109444,0.1499,0
20969,54001,31.45001,121.114444,0.2099,0
20969,54002,31.45001,121.114444,0.2099,0
20969,54003,31.45001,121.114444,0.2099,0
20969,54201,31.43931,121.09772,0.19,0
20969,54202,31.43931,121.09772,0.19,0
20969,54203,31.43931,121.09772,0.19,0
20969,54204,31.43931,121.09772,0.19,0
20969,54206,31.43931,121.09772,0.19,0
20822,15422,31.45422,121.12168,0.01,0
20969,14003,31.44616,121.08985,0.04,0
20969,25425,31.44648,121.10829,0,0
20969,25420,31.44104,121.09974,0,0
20822,25430,31.46384,121.13884,0.3368,0
20969,40651,31.443333,121.103611,0.13,0
20969,40652,31.443333,121.103611,0.13,0
20969,40653,31.443333,121.103611,0.13,0
20969,54004,31.45001,121.114444,0.2099,0
20969,54005,31.45001,121.114444,0.2099,0
20969,54006,31.45001,121.114444,0.2099,0
20969,40031,31.446111,121.09501,0,0
20969,40032,31.446111,121.09501,0,0
20969,40033,31.446111,121.09501,0,0
20822,41221,31.47276,121.1518,0.5099,0
20822,41222,31.47276,121.1518,0.5099,0
20822,41223,31.47276,121.1518,0.5099,0
20822,41471,31.46472,121.14297,0.26,0
20822,41472,31.46472,121.14297,0.26,0
20822,41473,31.46472,121.14297,0.0026,0
20822,24108,31.46071,121.12458,0.2699,0
20822,41401,31.45783,121.11388,0.0499,0
20822,41402,31.45783,121.11388,0.0499,0
20822,41403,31.45783,121.11388,0.0499,0
20969,41241,31.43647,121.07839,0,0
20969,41242,31.43647,121.07839,0,0
20969,40034,31.446111,121.09501,0,0
20969,40035,31.446111,121.09501,0,0
20969,40036,31.446111,121.09501,0,0
20822,35430,31.46466,121.14235,0.1287,0
20822,15430,31.46466,121.14235,0.1287,0
20969,41243,31.43647,121.07839,0,0
20969,54254,31.453055,121.109444,0.1499,0
20969,54256,31.453055,121.109444,0.1499,0
20822,54224,31.454444,121.125833,0.1499,0
20822,54225,31.454444,121.125833,0.1499,0
20822,54226,31.454444,121.125833,0.1499,0
20822,41211,31.45106,121.1179,0,0
20822,41212,31.45106,121.1179,0,0
20822,41213,31.45106,121.1179,0,0
20969,54255,31.453055,121.109444,0.1499,0
20822,25464,31.46071,121.12458,0.2699,0
20822,35464,31.46071,121.12458,0.2699,0
20822,24113,31.46032,121.11836,0.26,0
20822,25458,31.45525,121.12773,0.4352,0
20822,25451,31.45703,121.1248,0.22,0
20822,41081,31.46138,121.13608,0.65,0
20822,41082,31.46138,121.13608,0.65,0
20822,41083,31.46138,121.13608,0.65,0
20822,24085,31.46356,121.13898,0.3264,0
20822,14085,31.46356,121.13898,0.3264,0
20969,15499,31.44893,121.11407,0.0199,0
20969,25499,31.44893,121.11407,0.0199,0
20969,35499,31.44893,121.11407,0.0199,0
20969,54205,31.43931,121.09772,0.19,0
20822,42061,31.46292,121.12571,0.46,0
20822,42062,31.46292,121.12571,0.46,0
20822,42063,31.46292,121.12571,0.46,0
20822,42041,31.45801,121.13025,0.77,0
20822,42042,31.45801,121.13025,0.77,0
20822,42043,31.45801,121.13025,0.77,0
20822,41404,31.45783,121.11388,0.0499,0
20822,41405,31.45783,121.11388,0.0499,0
20822,41406,31.45783,121.11388,0.0499,0
20969,40654,31.443333,121.103611,0.13,0
20969,40655,31.443333,121.103611,0.13,0
20969,40656,31.443333,121.103611,0.13,0
20969,40534,31.45118,121.10351,0.19,0
20969,40535,31.45118,121.10351,0.19,0
20969,40536,31.45118,121.10351,0.19,0
20822,41084,31.46138,121.13608,0.65,0
20822,41085,31.46138,121.13608,0.65,0
20822,41086,31.46138,121.13608,0.65,0
20822,41214,31.45106,121.11791,0,0
20822,41215,31.45106,121.11791,0,0
20822,41216,31.45106,121.1179,0,0
20822,41224,31.47276,121.1518,0.5099,0
20822,41225,31.47276,121.15181,0.5099,0
20822,41226,31.47276,121.1518,0.5099,0
20969,25401,31.44939,121.11543,0.2099,0
20969,35401,31.44939,121.11543,0.2099,0
20969,25453,31.45101,121.10307,0.19,0
20969,25454,31.442883,121.103325,0,0
20969,35454,31.442883,121.103325,0,0
20969,45454,31.442883,121.103325,0,0
20822,55417,31.464322,121.131377,0.44,0
20822,25402,31.464322,121.131377,0.44,0
20822,45402,31.464322,121.131377,0.44,0
20822,42044,31.45801,121.13025,0.77,0
20822,42045,31.45801,121.13025,0.77,0
20822,42046,31.45801,121.13025,0.77,0
20969,25405,31.44042,121.10102,0.1699,0
20969,35405,31.44042,121.10102,0.1699,0
20969,25438,31.44955,121.09871,0,0
20822,25491,31.452215,121.121225,0.3899,0
20822,35491,31.452215,121.121225,0.3899,0
20822,45491,31.452215,121.121225,0.3899,0
20969,25482,31.45098,121.101401,0.3899,0
20969,35482,31.45098,121.101401,0.3899,0
20822,42064,31.46292,121.12571,0.46,0
20822,42065,31.46292,121.12571,0.46,0
20822,42066,31.46292,121.12571,0.46,0
20822,2542,31.45474,121.12188,0.2299,0
20822,3542,31.45474,121.12188,0.2299,0
20822,45430,31.45689,121.12028,0,0
20822,55430,31.45689,121.12028,0,0
20822,14206,31.45883,121.12273,0.2999,0
20822,24206,31.45883,121.12273,0.2999,0
20969,42161,31.44061,121.07951,0,0
20969,42162,31.4406,121.0795,0,0
20969,42163,31.4406,121.0795,0,0
20822,25415,31.46189,121.13693,0.0199,0
20822,35415,31.46189,121.13693,0.0199,0
20822,25416,31.46348,121.14042,0.5399,0
20822,35416,31.46348,121.14042,0.5399,0
20822,25417,31.464322,121.131377,0.44,0
20822,35417,31.464322,121.131377,0.44,0
20822,45417,31.464322,121.131377,0.44,0
20969,24481,31.44041,121.10102,0.1699,0
